Player,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Ander Capa Rodríguez,0.5803346,-0.03704571,0.015064118,0.9757542,-0.011630066,0.060669277,-0.008700815,-0.016535573,0.029237933,0.10172549,0.020346085,0.044564586,-0.026431594,-0.0700941,0.37476945,-0.30433658
Ander Iturraspe Derteano,-0.43614706,-0.023309886,0.025906451,-0.42680568,-0.029222453,-0.38448608,-0.0025294956,0.037197594,0.003495297,-0.0068365894,-0.04379886,-0.010743698,-0.011816434,0.08090074,0.3571867,0.5310354
André Filipe Tavares Gomes,-0.20482768,-0.061954662,-0.011077177,0.016118074,-0.051094625,-0.2653087,-0.0032711078,0.06384723,-0.05709884,-0.010141248,0.035849057,0.14566724,0.006112346,-0.054665197,-0.4851931,-1.1236378
Andrés Eduardo Fernández Moreno,-0.06405733,0.033625998,-0.02547553,0.47818,0.059699915,0.22687545,-0.007031159,0.038170725,0.047718737,-0.1022627,-0.27960056,-0.22850068,0.013213804,0.095208466,0.6957239,1.8247706
Andrés Iniesta Luján,-0.9730468,0.024794696,0.033674423,-0.38759473,0.0135095995,-0.39853525,-0.014632085,-0.008283568,0.06401069,0.058614615,-0.049145732,-0.05701842,-0.029611418,0.0260463,0.24168923,-1.5298916
Antoine Griezmann,0.42772886,-7.139381e-05,-0.02096953,-0.37842378,0.003798586,0.5726222,-0.023581898,-0.037149318,0.018913953,-0.13029963,0.16998652,-0.06733423,0.017187646,-0.14775419,-0.6708581,-0.71769506
Antonio Adán Garrido,0.19389561,0.069797866,-0.03844996,1.0010133,0.101307765,0.5476351,0.0050237486,-0.0256758,0.120395355,-0.084691666,-0.33349973,-0.2657384,0.016122539,0.08329336,0.4219177,1.8935705
Antonio Amaya Carazo,0.33310157,-0.01755861,0.0027958269,-0.07073694,-0.016337005,0.00061773456,0.007098382,-0.030834444,-0.017351748,0.03256341,0.15291439,0.086066,-0.0007907624,-0.12248799,0.6077697,0.37230885
Antonio Barragán Fernández,0.26130822,-0.043334074,-0.016199166,0.1175962,-0.014100408,-0.33267018,-0.007148638,-0.022086907,-0.0005681291,0.044480715,0.1156703,0.079037376,-0.003983348,-0.13746151,0.6766321,-0.10750501
Antonio García Aranda,-0.20211789,-0.074762575,-0.045387287,0.64360535,-0.006208852,-0.3580959,-0.028328763,-0.010802143,0.039274327,0.055932555,0.07418362,-0.027296495,-0.015000939,-0.12272553,0.51475215,-0.41062757
Antonio Manuel Luna Rodríguez,0.091361575,-0.041674227,0.00026946064,0.48480535,-0.0012224168,-0.18044771,-0.01887026,0.0042078076,-0.0043805675,0.09192071,0.0030775177,0.016158063,-0.020295491,-0.05423474,0.49209324,0.16961774
Antonio Rodríguez Martínez,-0.3661035,-0.01184934,0.026373517,-0.30049664,0.00926089,-0.43083033,-0.009122787,0.10746808,0.006525685,-0.1042969,-0.30541664,-0.21256344,0.005888312,0.21028145,0.9019356,1.3610411
Antonio Rukavina,0.038270626,-0.008103935,-0.010024489,-0.013467299,0.015147712,-0.3917162,-0.0101157455,-0.031518906,0.015225879,0.037103273,0.03486146,-0.04256611,-0.0029511615,-0.08852875,0.6581228,0.20557304
Arda Turan,-1.2346283,-0.03714133,0.03174725,-0.7025162,-0.039222304,0.041198477,0.0065489984,0.0688563,0.0014945075,0.035327613,-0.05616075,0.030460406,-0.014006188,0.08597036,0.067117035,-0.30812967
Aritz Aduriz Zubeldia,0.43049774,0.06220688,0.00024562067,0.0149155855,0.023036538,0.64762366,-0.038439613,-0.07998411,0.078443944,-0.07732397,-0.09616798,-0.28768355,-0.016845195,0.07146273,-1.207372,-0.17394048
Aritz Elustondo Irribaria,0.20096782,-0.016387677,-0.016231654,0.21010427,0.011960838,-0.25581008,-0.015654474,-0.05778403,0.033810936,0.019437335,0.13591792,-0.05437025,-0.01246098,-0.15485425,0.6447381,-0.23126554
Armindo Tué Na Bangna,-0.92874396,-0.027431212,-0.011553174,0.007094845,0.014329781,-0.20632286,0.014803806,0.0057516703,-0.03974418,0.09562795,0.20010996,0.078166716,0.0040329034,-0.15352541,-0.81443876,0.035761792
Arnaldo Antonio Sanabria Ayala,0.54462457,0.011731138,-0.00054339244,-0.26029885,-0.012929012,0.20985274,0.014618368,-0.00097447657,-0.039824486,-0.031132743,0.09804728,0.14844428,0.026799928,-0.0665854,-0.94129014,-0.13299583
Arthur Etienne Boka,-0.3285942,-0.056718532,-0.046534,0.24462035,0.0073412154,-0.6241448,-0.027138356,-0.023353098,0.017279146,0.035271507,0.14962937,-0.035853624,-0.0050813314,-0.1864573,0.45471022,-0.4817022
Asier Illarramendi Andonegi,0.5305634,-0.00086231664,0.008103991,0.4192471,-0.004843114,0.12766564,-0.0016859497,-0.022637041,-0.016362714,0.061533857,0.1096022,0.14064328,-0.00855369,-0.11504731,0.6374547,-0.8618304
Asier Riesgo Unamuno,0.108811386,0.04586353,-0.022624822,0.8409424,0.084235795,0.25900793,-0.007069677,0.01403337,0.09249258,-0.07119669,-0.34725946,-0.27304587,0.00900367,0.10903126,0.4957198,1.8578074
