Player,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16
Abdoul Karim Yoda,0.05820422443389308,0.04447080515979167,-0.30222562306038847,0.03855168950207133,-0.5720602412797723,-0.8375313980515023,0.749732217968239,0.7360714165060596,-0.39171724285067516,0.11800254810718905,0.1460223730947345,0.21728675472698383,-0.06417604355983703,0.08613163260590836,-0.004410940239399638,0.024271429468446796
Abdoulaye Doucouré,0.5682949351085412,-0.4585245129175198,0.10725504511030004,0.07666169658542857,0.39273653846783446,-0.05042066647063767,0.18340748782371147,-0.1532293906797191,0.0027412348902487254,0.08929526799277736,0.0702874616642558,-0.1684878922553344,0.11038322215398132,0.014472046399863088,-0.005282676206986608,-0.043362959219259055
Abraham González Casanova,-0.7395984949101333,-0.08889844003713246,0.21936314197927367,-0.25341968199257703,0.47076676127598244,0.05844637543668791,0.09674103420982978,-0.04452830279127181,0.24144981520941927,-0.14643904272290123,-0.0009329153787864442,-0.05285744111217274,0.01277421162151425,0.02825958434885789,-0.023435396804597577,-0.023659888937227213
Adalberto Peñaranda Maestre,0.026364167377089517,1.2709674360836838,0.05944678046917035,0.10295628812759426,-0.005477907977895835,-0.5844477377965079,0.4597865026960209,-0.01985557680835205,-0.5725042228869726,0.010268434261278022,0.2045154218361726,-0.27639793613946356,0.22416390357296778,0.011143643987888141,0.02903305229689418,0.009652457055408452
Aderllan Leandro de Jesus Santos,-0.2112752727855679,-1.014959041334846,0.33325188002842365,-0.32693093025511216,0.4028322135020101,0.41496556302613846,0.24874448833645446,0.3236667530212453,0.15455289340897319,0.19972170976972425,-0.2036680641817536,0.0011329391351994275,0.02181447534517736,0.013207270466587802,-0.02451660737236685,-0.055606332295812216
Adil Rami,-0.6641156829158446,-0.7943027888421769,-0.24655555797039191,-0.23144964629547643,0.3683051731411452,-0.04509923569821221,-0.47398697218215247,0.07945963869619467,0.28030282688348124,0.06794307219187083,0.29223685066642674,0.050252605057883606,-0.0009711477227177478,-0.060378202888876006,-0.026994854982437286,-0.04165065813855461
Adrián Embarba Blázquez,0.48524634504239444,0.9590304860593627,0.22190385692359385,0.4497209481887654,-0.3848617367403752,-0.5168606156427533,0.22384387668741557,0.048356627121429185,0.19220548737864332,-0.4336755641713164,0.29243720804585877,-0.10458232579040126,0.11046818333848954,-0.01454350934808674,0.03879898155874327,0.02957260327050165
Adrián González Morales,-0.0458488057565131,0.5662903137767981,0.12679775226162943,-0.31170151934294305,-0.1384464338815054,0.16990475357417215,0.021473156608521404,-0.46240383810846636,0.2293457152412856,-0.20615820634861048,-0.16328841311868725,-0.022601369870253345,-0.18227207767830814,0.066066754014672,-0.030238113389224438,-0.029228375183302676
Adrián López Álvarez,-0.445070000648815,0.8891694644854078,-0.37990174967792706,0.4131400257487276,0.43956675667939693,-0.5289142391271892,-0.178289235978592,0.09350570198274653,-0.435820055766168,-0.7429955445827716,0.031941206840751225,-0.10610274062555441,-0.028650833142543866,0.0005134506595670797,0.005399873207496305,-0.01917661217404473
Adrián Marín Gómez,0.2535618635033992,-1.2121448367453038,-0.1596678947353385,0.15562436001368643,-0.4542230973916972,0.34851001602298803,0.18326554338420123,0.27526227399211844,-0.17726747885719418,-0.03347083514888711,0.2250337571935013,0.18771754541507707,-0.13931426260378135,0.1431039779109105,-0.04623721170081164,0.07629528378217099
Alberto De La Bella Madureño,0.7857834710694421,-0.8203038206987762,0.8336689737134776,0.008278805502431178,-0.0537949342843209,0.2592039153794745,-0.08590649139049351,-0.37011356470406276,-0.16402155250933928,-0.204296806225364,0.27327284092907245,0.1642914054944161,-0.3214677380842334,0.1395193134910126,-0.01334318431945689,0.07577867390814785
Alberto Lora Ramos,0.23422826741719055,-0.8433258507409132,0.5529493508966877,0.30564654141432296,0.17013194728984113,0.29008386450749757,-0.10275274235786513,0.06647805966231521,-0.057763046614298236,-0.1306436742923893,-0.0022982102845830474,0.027746226045600297,-0.11287326931567612,-0.13194615260749676,-0.04103919795023726,0.058777904414160635
Alberto Mateus Contreiras Gonçalves,-2.2172210655521054,1.335004254522196,0.6880185041152327,-0.15133557291236566,0.275694341317234,-0.10307944497392706,0.20529254855806942,-0.4450682540579243,-0.12077686132407399,-0.15303413181036515,-0.015826485545293204,0.22074845307120317,0.08393772887111506,0.013175640361078834,-0.022906669707907085,0.0013085747039999543
Alejandro Arribas Garrido,-0.5316762599459977,-0.6403697753589667,0.7638904507242391,-0.05380862447928369,0.10828814048785375,0.5711977434040465,0.002100622940139923,0.305921200178811,0.039100023928852104,0.009804697332446655,0.017158908348586927,0.03245307644925933,0.029162557042609283,-0.06667169986999182,-0.027673757819051112,-0.048988632630010756
Alejandro Bergantiños García,0.4801737271305579,-0.4218082011176161,0.24347544856662426,-0.3898208242036911,0.22153362457138312,0.1817855161471047,-0.13206564911927762,-0.3681973394442489,0.005518845755348016,-0.1248833661929841,-0.13446404800089234,-0.15412973435290322,-0.0582299961832851,-0.03249564952305074,-0.025846382307123692,-0.032747776455266685
Alejandro Menéndez Díez,-0.7076220129848949,0.7090941671614565,0.4947531968138299,0.23663042746352067,-0.3093380172736132,0.0076189895608886815,0.19279765781367564,0.3819735613735748,0.07871641339523985,-0.031754703727553325,0.11104541136641628,0.05434397045975924,0.0839603396114821,0.12521026347959924,-0.026264992389448693,0.04733901556979339
Aleksandar Pantić,-1.9216529716575814,-0.21990558058789547,1.1621352134069656,0.31261887237803093,-0.18745992598978414,0.7471662027920806,-0.07937642854504298,0.21317525175658553,0.1709515830016367,0.4289966753490869,-0.05323501928263315,-0.013839343692398915,0.060976628964076796,0.01611589478724621,-0.08261464737136728,-0.05984869484303855
Alen Halilović,-0.04255689085197507,0.7947084181121347,-0.986127561103891,-0.009446953296434725,-0.04842142359339295,-1.0063742266572437,0.3035691152510155,0.7349174956875126,0.23212843893373533,0.249437831815895,0.09654891750134256,0.0891512537086299,0.04529425721867921,-0.10190347660710529,-0.019980759024107175,0.008893808501577019
Alexis Ruano Delgado,-0.8542277732215299,-1.2082392769224966,0.21196768661099702,-0.10918721112784492,0.16038532260581218,0.831259053708182,0.20218341912469243,0.8417381646916918,0.09096737201149609,0.18971674240772216,-0.05845729968779836,-0.009935026428319695,0.026688693305541782,0.04082310752485096,-0.04527188036825322,-0.06775791655523564
Alfred John Momar N''Diaye,0.408931173238436,-0.1404628921342135,0.638288254640219,-0.26475367892889823,0.11920260596447259,0.14426703094380558,0.449276463054038,-0.18561327860788424,-0.10725881003114106,0.08650670948055496,0.2695819837158656,-0.12489712439883602,0.05207776359886488,-0.00036684549611134854,0.023433459827420955,-0.04917038873809665
Alhassane Bangoura,-0.3701302113551502,0.9926954710574823,-0.270656087796635,0.285748459361287,-0.6674593344717472,-1.2901512765400638,0.3850584251229836,0.7029395414679498,0.0034684538990743564,-0.145875850234687,0.015492696571783971,0.09744448599660505,0.06197114217120239,-0.09460693010345166,-0.010272542830911209,0.04623035220559744
Alphonse Areola,-3.9697216667979864,-0.6775541833767483,-1.1133415385625056,0.9592127769165266,-1.4978438692279155,1.2187071436405843,-0.5927428803535506,-0.608365937020975,-0.18155241446717377,0.9526183262848334,-0.22890185801986163,-0.012053243546652796,-0.027602241545792536,-0.0010697794203729635,0.1705589845482116,0.014444576390468804
