Player,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Joaquín José Marín Ruiz,-0.07249755,0.02114178,0.41649497,0.020218553,-0.02290051,-0.034223434,-0.034689095,-0.027682513,-0.71595883,-0.042596303,-0.23597369,-0.014696368,0.00090051757,-0.07263736,-0.05716712,0.0308322
Joaquín Sánchez Rodríguez,-0.039074685,0.0334694,0.38436472,0.46005148,-0.027479032,-0.026739903,-0.06232751,0.00015778566,0.34233588,0.047851715,-0.100042425,-0.031263895,0.0037226528,0.008015384,-0.040772974,-0.43061298
John Guidetti,0.16413057,-0.09917934,-0.050915394,-0.355753,0.056388382,0.05939954,0.16731817,0.042971637,-0.1080809,-0.25662482,0.9188103,0.5476222,-0.008459082,0.07018797,0.019733047,-0.5766706
Jonathan Castro Otto,0.07046126,-0.03192004,0.022648256,-0.1164265,0.018368343,0.027881352,0.044572525,0.026616246,-0.34087858,-0.25450236,-0.68914247,-0.19927667,0.0032364896,0.035664033,-0.0026837941,0.5323079
Jonathan Javier Rodríguez Portillo,0.09303498,-0.07090129,0.20364204,-0.023061363,0.085024804,0.0913903,0.17284943,0.041479997,-0.603207,-0.20798016,0.8193541,0.41737974,-0.0031316213,0.032852415,-0.054921087,-1.0612422
Jonathan Rodríguez Menéndez,-0.12307552,0.1297169,0.022852553,0.901912,-0.054602817,-0.079453215,-0.18318541,0.038418334,-0.0110930465,0.46562678,-0.24007855,-0.34646314,0.041875217,-0.001235827,-0.0022815375,-0.8366037
Jonathan Viera Ramos,0.08989306,-0.024105977,-0.22168072,0.11322701,0.010998257,0.009001849,0.015110751,-0.001455192,0.6231442,0.16148226,-1.139461,0.05006617,-0.01693724,0.0793734,0.04457154,-0.8522277
Jonathan dos Santos Ramírez,-0.016520424,0.026246633,0.41346997,0.19516556,0.012178561,-0.01858592,-0.031492494,-0.0064428225,0.20410433,0.07072917,-0.31462494,0.19548038,0.0064785895,-0.014981455,-0.0154596055,0.15715972
Jonathas Cristian de Jesus,0.11355927,-0.08166598,-0.030317964,-0.20922971,0.07448869,0.06859301,0.14183646,0.02568978,-0.19397525,-0.18970601,0.310667,0.3981618,-0.00044744523,0.046884492,-0.0070065535,-1.1942059
Jonás Manuel Gutiérrez,-0.097972326,0.057287157,-0.2953675,0.7381417,-0.054436352,-0.07539509,-0.024414765,-0.005214073,0.33817372,-0.038663607,0.888578,-0.0662686,0.012078809,-0.07689256,-0.11133548,-0.21899548
Jordi Alba Ramos,-0.12181861,-0.0068575596,-0.10649061,-0.48738524,-0.097445704,-0.054914277,0.008662287,0.008347948,0.8657937,-0.30355197,-1.341137,-0.22738546,0.014163588,-0.07773225,0.02281598,0.6939313
Jordi Xumetra Feliu,0.024170496,-0.053235613,0.32691434,0.029966913,-0.008774038,-0.0052474653,0.0886592,-0.009246079,0.04778016,-0.16594203,1.0784879,0.43351656,-0.023546752,-0.008745492,-0.05089344,-0.41540173
Jorge Andújar Moreno,0.020255497,0.019406546,0.43562984,-0.12191864,0.052335966,0.028433101,0.010254255,-0.012677868,-0.40169117,0.09718741,-0.34523696,0.16205198,0.018443886,-0.012952948,-0.006730709,-0.29693285
Jorge Franco Alviz,-0.015697448,0.04017528,0.11978159,0.4814043,-0.01229396,-0.03870451,-0.05174807,0.002940622,0.6078177,0.13410233,0.6833471,0.12711056,0.03465858,0.020570459,-0.037596237,-0.575527
Jorge Meré Pérez,0.13481183,-0.07946589,0.05498127,-0.13938193,0.084137164,0.04502998,0.0986771,0.033019017,-0.39623928,-0.05659554,0.33570153,0.028930109,-0.02144026,0.081601255,0.053842407,0.7916808
Jorge Molina Vidal,-0.13284592,0.038703997,0.39163104,0.017932007,-0.107305616,-0.09429867,-0.07284893,-0.051023472,-0.26206863,0.04065339,0.9718377,0.18056045,-0.02640743,-0.08541747,-0.04577097,-0.5955176
Jorge Resurrección Merodio,-0.1626246,0.040889766,-0.035347257,-0.50653607,-0.14021643,-0.12007272,-0.06468838,-0.039378516,0.3750098,-0.22380269,-1.3241976,-0.44387963,-0.026394637,-0.10609734,-0.033699226,-0.35967404
Joseba Zaldúa Bengoetxea,-0.120799184,0.00080992957,0.4704029,0.03636282,-0.072712176,-0.027545685,-0.06810879,-0.031004993,-0.776429,-0.04107118,-0.1599192,0.014244917,-0.011484818,-0.09805574,-0.0847572,0.35011306
José Alberto Cañas Ruiz Herrera,-0.047141377,-0.067324586,-0.18138836,-0.025265908,-0.031487774,-0.012409058,0.05883757,-0.059626054,0.13725084,-0.23018709,-0.039375346,0.07086335,-0.039297488,-0.101639204,-0.056853224,0.775325
José Antonio García Rabasco,-0.066627696,0.03371552,0.34687307,-0.47001514,-0.043802608,-0.042066034,-0.05368373,-0.025293682,0.16222782,0.018194983,-0.48910227,0.05159274,0.016094018,-0.053192567,-0.013677731,0.3012528
José Antonio Reyes Calderón,-0.18051784,0.08921977,0.5238355,0.22126544,-0.08109578,-0.094616376,-0.12920977,-0.042172283,-0.2559292,0.27682734,0.30152866,0.13043125,0.0014009364,-0.108458124,-0.0319257,-0.5601044
José Eduardo Rosa Vale de Castro,-0.1342621,0.0446071,-0.33956167,0.059558783,-0.050834063,-0.049013212,-0.06906366,-0.034537803,-0.030476231,0.17816578,-0.35783622,-0.14913104,0.017252482,-0.08547907,0.00719678,0.7187719
José Ignacio Fernández Iglesias,0.22400996,-0.059421103,0.036037832,-0.24047041,0.16056243,0.0949138,0.14395459,0.042546805,0.2932084,-0.037313756,-0.1741167,0.18165286,-0.0090156,0.10271504,0.09242089,1.1008903
José Ignacio Martínez García,-0.07613581,0.0055617867,0.5081488,-0.25668198,-0.04456579,-0.004104246,-0.047131944,-0.035916816,-0.46793726,0.06904025,-0.3174733,0.09537971,0.006368266,-0.064372785,-0.0654153,0.45298082
José Ignacio Peleteiro Ramallo,0.04596353,-0.05828506,0.32974818,0.9294975,0.035457086,0.01907584,0.05261366,0.05292405,0.14811422,0.06670154,0.21661808,0.34802267,-0.029673642,0.059892386,-0.02421637,-0.7912341
José Luis García del Pozo,0.02042168,-0.0012042919,0.5026812,-0.058337264,0.028695798,0.022600204,0.013066353,-0.0055086073,0.1663708,0.014592747,-0.6055541,0.15210746,0.0011487276,0.0024539642,-0.01990336,0.021851001
José Luis Gayà Peña,-0.07317912,-0.015691465,0.394157,0.31090334,-0.035388146,0.0068682637,-0.023934072,-0.027337724,0.31635147,0.048210114,-0.25693583,0.21338749,-0.010853879,-0.05980959,-0.086663745,0.5406324
José Luis Morales Nogales,0.012136702,0.01894793,-0.13875599,0.8517735,0.004102443,0.007944724,-0.03123034,0.05923101,-0.024668913,0.30323812,-0.2685583,-0.05048614,0.022179458,0.060663123,0.0018426031,-0.9926011
José María Giménez de Vargas,0.049048398,-0.0088822115,0.2381074,-0.17476235,0.024998702,-0.0019851804,-0.0037083605,0.017691527,-0.42362216,0.13988908,0.39214215,-0.07637795,-0.0033699316,0.06747352,0.0600074,0.58502454
José María Martín-Bejarano Serrano,0.026651623,-0.012253374,0.29980692,-0.05492692,0.03824695,0.02264297,0.026633807,-0.018875392,-0.07962053,0.120814264,0.077605344,0.2148376,0.0048896577,0.036902364,0.0010556113,0.31764618
José Raúl Baena Urdiales,-0.0042890627,-0.020899072,0.35242665,-0.11374848,-0.017735152,-0.010072789,0.0073012467,-0.0063052787,-0.14916877,-0.105438225,-0.08485357,0.15670693,-0.013088845,-0.017708385,-0.026923666,0.2829896
José Vicente Gómez Umpiérrez,0.03120105,-0.049471565,0.09721867,-0.2201659,-0.002773556,0.03504756,0.072542824,0.006153924,0.4474992,-0.25492227,-0.6523695,0.26788992,-0.0039748317,-0.017878994,-0.023722736,0.33926407
Jozabed Sánchez Ruiz,0.055866282,0.0050376686,-0.092630655,-0.5377181,-0.0055749426,-0.04804483,-0.020155013,-0.010771491,0.31077126,0.3122723,-0.42797562,0.3210439,0.0036106056,0.068552956,0.11108151,-0.26505128
João Pedro Cavaco Cancelo,0.025015708,0.035787903,-0.038386744,1.0160474,0.003305439,-0.0036568956,-0.032823093,0.057211395,0.07046658,0.007156863,-0.4109133,-0.31769225,0.0075758323,0.028239876,-0.04866137,0.024291756
Juan Antonio Rodríguez Villamuela,0.07396273,-0.021009348,0.32789636,-0.1922178,0.05262643,-0.00091127795,0.0309615,0.02103742,-0.45906714,-0.0013804445,-0.003640105,0.03015437,-0.0045494447,0.059527013,0.039273836,0.49137276
Juan Carlos Martín Corral,-0.06016023,0.019382337,-0.34962088,-0.16448285,-0.066326216,0.08949026,-0.046087377,-0.011995274,0.0075034527,0.16727045,1.2551491,-0.38984367,-0.010803741,0.018472444,0.029922163,1.331009
Juan Carlos Pérez López,-0.067903906,0.040135134,0.35111803,0.14429733,-0.02973486,-0.04730679,-0.050342686,-0.007807408,-0.026954733,0.10335856,0.052316334,0.13820416,0.011111148,-0.030430458,-0.02561107,-0.24805035
Juan Carlos Valerón Santana,0.033155818,-0.048429713,-0.3331283,0.26917627,0.05094288,-0.05401508,0.13681306,-0.050782803,1.4337764,-0.21610664,0.20341645,0.38757652,-0.017064514,-0.06629069,0.0002486829,0.28765827
Juan Emmanuel Culio,0.078839056,-0.040181894,-0.178203,0.55034214,0.068088174,0.06163156,0.10664167,-0.017524159,0.83027554,-0.28840616,-0.02849277,0.1560508,-0.00047404878,-0.043560565,-0.12189277,0.063614674
Juan Francisco García García,-0.17242585,0.051890124,-0.06398421,0.42293242,-0.08575791,-0.04695014,-0.103861995,-0.049824085,-0.34617713,0.1340037,0.16789423,-0.33511573,0.019137815,-0.096340396,-0.09592725,0.5577297
